net,length_um
net4,53.33µm
net5,43.66µm
_06_,33.17µm
net6,31.175µm
net3,28.78µm
net1,28.52µm
_07_,26.68µm
_04_,25.74µm
net7,19µm
_19_,17µm
clknet_1_0__leaf_clk,16.98µm
_05_,15.38µm
clknet_1_1__leaf_clk,15.18µm
net2,14.86µm
clknet_0_clk,13.22µm
_08_,12.62µm
clk,11.29µm
_15_,10.6µm
counter[0],8.35µm
_12_,8.1µm
_20_,7.78µm
enable,7.01µm
_17_,6.96µm
_22_,6.28µm
_13_,6.26µm
counter[1],5.99µm
up_down,5.97µm
_21_,5.58µm
_09_,5.5µm
_10_,5.5µm
reset,5.29µm
_18_,4.92µm
counter[3],4.61µm
_01_,4.385µm
_14_,4.34µm
counter[2],4.27µm
_00_,4.065µm
_02_,2.785µm
_16_,2.62µm
_03_,2.025µm
_11_,1.26µm
