Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_48,VGND,li1,27.8300,32.6400,0.000001
FILLER_7_40,VGND,li1,25.7600,32.6400,0.000001
FILLER_7_32,VGND,li1,21.1600,32.6400,0.000002
FILLER_7_27,VGND,li1,18.1700,32.6400,0.000002
FILLER_7_18,VGND,li1,15.1800,32.6400,0.000002
FILLER_7_6,VGND,li1,11.0400,32.6400,0.000002
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000053
FILLER_5_19,VGND,li1,14.7200,27.2000,0.000054
FILLER_3_3,VGND,li1,8.2800,21.7600,0.000136
FILLER_2_45,VGND,li1,26.4500,16.3200,0.000016
FILLER_2_37,VGND,li1,24.3800,16.3200,0.000016
FILLER_2_26,VGND,li1,17.9400,16.3200,0.000026
FILLER_2_3,VGND,li1,7.1300,16.3200,0.000032
FILLER_1_43,VGND,li1,26.6800,16.3200,0.000016
FILLER_1_35,VGND,li1,22.0800,16.3200,0.000019
FILLER_1_6,VGND,li1,9.2000,16.3200,0.000032
FILLER_0_47,VGND,li1,27.6000,10.8800,0.000001
FILLER_0_35,VGND,li1,24.3800,10.8800,0.000001
FILLER_0_29,VGND,li1,19.5500,10.8800,0.000001
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000001
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000001
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000001
clkbuf_1_1__f_clk,VGND,li1,23.4600,27.2000,0.000045
clkbuf_1_0__f_clk,VGND,li1,11.5000,21.7600,0.000136
clkbuf_0_clk,VGND,li1,18.8600,21.7600,0.000116
output7,VGND,li1,7.5900,32.6400,0.000002
output6,VGND,li1,27.3700,16.3200,0.000016
output5,VGND,li1,25.9900,21.7600,0.000072
output4,VGND,li1,27.3700,21.7600,0.000072
input3,VGND,li1,7.5900,16.3200,0.000032
input2,VGND,li1,7.5900,27.2000,0.000059
input1,VGND,li1,8.9700,27.2000,0.000059
TAP_TAPCELL_ROW_7_20,VGND,li1,18.6300,32.3480,0.000002
TAP_TAPCELL_ROW_6_19,VGND,li1,18.6300,27.4910,0.000050
TAP_TAPCELL_ROW_4_18,VGND,li1,18.6300,22.0510,0.000116
TAP_TAPCELL_ROW_2_17,VGND,li1,18.6300,16.6110,0.000024
TAP_TAPCELL_ROW_0_16,VGND,li1,18.6300,11.1710,0.000001
PHY_EDGE_ROW_7_Left_15,VGND,li1,6.2100,32.6400,0.000002
PHY_EDGE_ROW_6_Left_14,VGND,li1,6.2100,27.2000,0.000059
PHY_EDGE_ROW_5_Left_13,VGND,li1,6.2100,27.2000,0.000059
PHY_EDGE_ROW_4_Left_12,VGND,li1,6.2100,21.7600,0.000136
PHY_EDGE_ROW_3_Left_11,VGND,li1,6.2100,21.7600,0.000136
PHY_EDGE_ROW_2_Left_10,VGND,li1,6.2100,16.3200,0.000032
PHY_EDGE_ROW_1_Left_9,VGND,li1,6.2100,16.3200,0.000032
PHY_EDGE_ROW_0_Left_8,VGND,li1,6.2100,10.8800,0.000001
PHY_EDGE_ROW_7_Right_7,VGND,li1,28.7500,32.6400,0.000001
PHY_EDGE_ROW_6_Right_6,VGND,li1,28.7500,27.2000,0.000045
PHY_EDGE_ROW_5_Right_5,VGND,li1,28.7500,27.2000,0.000045
PHY_EDGE_ROW_4_Right_4,VGND,li1,28.7500,21.7600,0.000072
PHY_EDGE_ROW_3_Right_3,VGND,li1,28.7500,21.7600,0.000072
PHY_EDGE_ROW_2_Right_2,VGND,li1,28.7500,16.3200,0.000016
PHY_EDGE_ROW_1_Right_1,VGND,li1,28.7500,16.3200,0.000016
PHY_EDGE_ROW_0_Right_0,VGND,li1,28.7500,10.8800,0.000001
_49_,VGND,li1,10.5800,27.2000,0.000059
_48_,VGND,li1,24.3800,21.7600,0.000072
_47_,VGND,li1,11.0400,16.3200,0.000032
_46_,VGND,li1,24.1500,27.2000,0.000045
_45_,VGND,li1,15.8700,27.2000,0.000054
_44_,VGND,li1,19.0900,27.2000,0.000050
_43_,VGND,li1,12.6500,27.2000,0.000056
_42_,VGND,li1,17.2500,21.7600,0.000116
_41_,VGND,li1,16.1000,16.3200,0.000028
_40_,VGND,li1,24.3800,21.7600,0.000072
_39_,VGND,li1,19.7800,16.3200,0.000024
_38_,VGND,li1,20.0100,16.3200,0.000024
_37_,VGND,li1,20.9300,10.8800,0.000001
_36_,VGND,li1,21.6200,16.3200,0.000019
_35_,VGND,li1,23.9200,16.3200,0.000016
_34_,VGND,li1,12.6500,21.7600,0.000129
_33_,VGND,li1,16.5600,27.2000,0.000053
_32_,VGND,li1,16.3300,16.3200,0.000026
_31_,VGND,li1,17.7100,16.3200,0.000026
_30_,VGND,li1,14.4900,16.3200,0.000028
_29_,VGND,li1,11.7300,16.3200,0.000032
_28_,VGND,li1,19.7800,21.7600,0.000100
_27_,VGND,li1,23.0000,32.6400,0.000001
_26_,VGND,li1,17.2500,32.6400,0.000002
_25_,VGND,li1,10.3500,21.7600,0.000136
_24_,VGND,li1,19.5500,32.6400,0.000002
_23_,VGND,li1,10.3500,27.2000,0.000059
